x,y,z,v_opt,s_opt
69.0757804,-17.2066213,0,10.7147362,101.9877983
69.0117575,-17.3957279,0,10.8119275,102.1874486
68.9460223,-17.5844454,0,10.9082299,102.3872871
68.8785766,-17.7728004,0,11.0036667,102.5873534
68.8094284,-17.9608106,0,11.0982602,102.7876764
68.7388445,-18.1478238,0,11.1920318,102.9875665
68.666778,-18.3340589,0,11.2850021,103.1872589
68.5930691,-18.5200009,0,11.3771906,103.3872775
68.5177412,-18.7056485,0,11.4686163,103.5876255
68.4411615,-18.8901844,0,11.5592972,103.7874203
68.3631619,-19.0741124,0,11.6492507,103.9872038
68.2836212,-19.2577893,0,11.7384936,104.1873635
68.2027007,-19.4409111,0,11.827042,104.3875677
68.120681,-19.6229361,0,11.9149112,104.5872183
68.0372053,-19.8047392,0,12.0021164,104.7872697
67.9523469,-19.9862196,0,12.0886717,104.9876096
67.8665704,-20.1664689,0,12.1745912,105.1872278
67.7794302,-20.3465044,0,12.2598881,105.3872433
67.6909963,-20.5262362,0,12.3445755,105.5875532
67.6017179,-20.704828,0,12.4286656,105.7872171
67.5111755,-20.8831918,0,12.5121707,105.987246
67.4194823,-21.061158,0,12.5951023,106.1874449
67.3269501,-21.2381893,0,12.6774717,106.3872005
67.2332602,-21.4149587,0,12.7592898,106.5872635
67.138578,-21.5912065,0,12.8405671,106.7873335
67.0430338,-21.7667498,0,12.9213139,106.9871939
66.9464434,-21.9419814,0,13.00154,107.1872834
66.8490002,-22.1166009,0,13.081255,107.3872512
66.7506779,-22.2907069,0,13.1604682,107.5872017
66.6514252,-22.4644393,0,13.2391887,107.7872868
66.5514129,-22.6375453,0,13.3174251,107.9872071
66.4505305,-22.8102516,0,13.3951859,108.1872189
66.3488492,-22.9824974,0,13.4724794,108.3872382
66.2464327,-23.1542671,0,13.5493137,108.5872231
66.1433138,-23.3256147,0,13.6256963,108.7872069
66.0395377,-23.496553,0,13.701635,108.9871803
65.9351205,-23.6671075,0,13.7771371,109.1871598
65.8300968,-23.8372804,0,13.8522097,109.3871318
65.7244869,-24.0070998,0,13.9268597,109.587112
65.618323,-24.1765711,0,14.001094,109.7870902
