# x_ref_m, y_ref_m, width_right_m, width_left_m, x_normvec_m, y_normvec_m, alpha_m, s_racetraj_m, psi_racetraj_rad, kappa_racetraj_radpm, vx_racetraj_mps, ax_racetraj_mps2
-23.7633508, -63.0085262, 4.9981221, 5.0018779, -0.2971735, -0.9548235, 1.7771379, 334.7842025, -2.2795822, -0.0147020, 14.3046148, -9.0210635
-23.4785291, -63.0983612, 4.9979589, 5.0020411, -0.3045102, -0.9525091, 1.8992709, 335.0938153, -2.2857550, -0.0161484, 14.0513962, -8.8416727
-23.1945105, -63.1904368, 4.9976390, 5.0023610, -0.3123469, -0.9499681, 2.0194752, 335.4007545, -2.2890538, -0.0168880, 13.9249834, -8.7589343
-22.9113417, -63.2849076, 4.9973192, 5.0026808, -0.3206781, -0.9471882, 2.1376507, 335.7049022, -2.2961084, -0.0183699, 13.6722519, -8.6003453
-22.6290690, -63.3819283, 4.9969994, 5.0030006, -0.3294971, -0.9441566, 2.2537028, 336.0061525, -2.2998531, -0.0191277, 13.5458639, -8.5274501
-22.3477390, -63.4816538, 4.9966476, 5.0033524, -0.3387962, -0.9408598, 2.3675435, 336.3044124, -2.3078127, -0.0206536, 13.2927424, -8.3882323
-22.0673982, -63.5842387, 4.9962844, 5.0037156, -0.3485665, -0.9372841, 2.4790913, 336.5996028, -2.3120151, -0.0214361, 13.1659333, -8.3242843
-21.7880932, -63.6898378, 4.9959212, 5.0040788, -0.3587978, -0.9334153, 2.5882728, 336.8916597, -2.3209114, -0.0230204, 12.9115191, -8.2026585
-21.5098703, -63.7986058, 4.9955580, 5.0044420, -0.3694787, -0.9292392, 2.6950226, 337.1805350, -2.3255892, -0.0238358, 12.7838317, -8.1451747
-21.2327762, -63.9106974, 4.9954055, 5.0045945, -0.3805960, -0.9247414, 2.7992844, 337.4661980, -2.3304450, -0.0246673, 12.6557644, -8.0914233
-20.9568573, -64.0262674, 4.9952591, 5.0047409, -0.3921354, -0.9199075, 2.9010117, 337.7486358, -2.3406461, -0.0263713, 12.3982487, -7.9789798
-20.6821602, -64.1454705, 4.9951126, 5.0048874, -0.4040806, -0.9147234, 3.0001689, 338.0278554, -2.3460132, -0.0273133, 12.2688658, -7.9408364
-20.4087313, -64.2684615, 4.9950238, 5.0049762, -0.4164145, -0.9091749, 3.0967316, 338.3038804, -2.3572838, -0.0291292, 12.0080975, -7.7977629
-20.1366172, -64.3953950, 4.9951412, 5.0048588, -0.4291144, -0.9032501, 3.1906880, 338.5767686, -2.3632238, -0.0303872, 11.8775160, -7.6427499
-19.8658735, -64.5264224, 4.9952586, 5.0047414, -0.4421797, -0.8969265, 3.2820346, 338.8465085, -2.3694827, -0.0321701, 11.7481219, -7.5263046
-19.5966625, -64.6616556, 4.9953760, 5.0046240, -0.4556345, -0.8901670, 3.3707254, 339.1128846, -2.3829824, -0.0351992, 11.4906631, -7.3492944
-19.3292154, -64.8011808, 4.9957800, 5.0042200, -0.4694867, -0.8829396, 3.4566834, 339.3756543, -2.3901528, -0.0366253, 11.3620289, -7.2633755
-19.0637645, -64.9450839, 4.9964888, 5.0035112, -0.4837330, -0.8752156, 3.5398315, 339.6346176, -2.3976323, -0.0381355, 11.2334514, -7.1862425
-18.8005420, -65.0934509, 4.9971976, 5.0028024, -0.4983710, -0.8669638, 3.6200934, 339.8895762, -2.4054186, -0.0396359, 11.1047743, -7.1133496
-18.5397803, -65.2463675, 4.9979064, 5.0020936, -0.5133955, -0.8581521, 3.6973939, 340.1403470, -2.4218838, -0.0427224, 10.8468042, -6.9808277
-18.2817117, -65.4039196, 4.9990471, 5.0009529, -0.5287990, -0.8487471, 3.7716592, 340.3867605, -2.4305688, -0.0442978, 10.7173181, -6.9276402
-18.0265685, -65.5661932, 5.0003227, 4.9996773, -0.5445719, -0.8387142, 3.8428178, 340.6286635, -2.4395926, -0.0458526, 10.5872530, -6.8816697
-17.7745829, -65.7332741, 5.0015982, 4.9984018, -0.5607014, -0.8280181, 3.9108012, 340.8659221, -2.4489288, -0.0474123, 10.4564494, -6.8430069
-17.5259873, -65.9052482, 5.0028706, 4.9971294, -0.5771715, -0.8166229, 3.9755446, 341.0984231, -2.4685267, -0.0505304, 10.1919031, -6.7922923
-17.2810139, -66.0822014, 5.0040827, 4.9959173, -0.5939629, -0.8044924, 4.0369881, 341.3260777, -2.4787836, -0.0520809, 10.0577357, -6.7816198
-17.0398951, -66.2642195, 5.0052949, 4.9947051, -0.6110521, -0.7915904, 4.0950778, 341.5488238, -2.4893504, -0.0536078, 9.9219692, -6.7813740
-16.8028632, -66.4513885, 5.0065071, 4.9934929, -0.6284115, -0.7778811, 4.1497671, 341.7666296, -2.5001915, -0.0549912, 9.7843241, -6.7332407
-16.5701505, -66.6437941, 5.0074535, 4.9925465, -0.6460094, -0.7633294, 4.2010175, 341.9794948, -2.5114212, -0.0572076, 9.6457128, -6.7247371
-16.3419892, -66.8415224, 5.0078531, 4.9921469, -0.6638079, -0.7479031, 4.2488037, 342.1874623, -2.5226342, -0.0548303, 9.5052593, -7.0964290
